year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,194,894,82.17
2004,1087,197,890,81.88
2005,1038,175,863,83.14
2006,1069,175,894,83.63
2007,1058,144,914,86.39
2008,1061,140,921,86.80
2009,1094,149,945,86.38
2010,1050,125,925,88.10
2011,1057,109,948,89.69
2012,1059,105,954,90.08
2013,1042,93,949,91.07
2014,1014,87,927,91.42
2015,1011,77,934,92.38
2016,1076,67,1009,93.77
2017,1043,54,989,94.82
2018,1090,49,1041,95.50
2019,1038,50,988,95.18
2020,967,27,940,97.21
